year,date,host_city,winner,song,performer,points,margin,runner_up,winner_big5,runner_up_big5,placement,winner_genre,winner_english,runner_up_genre,runner_up_english,winner_sf_score,sf_margin,runner_up_sf_score,winner_betting_odds,runner_up_betting_odds,runner_up_ev_poll_result,winner_ev_poll_result,winner_wiwi_poll_result,runner_up_wiwi_poll_result,lyrics_type,winner_rank,runner_up_rank,YT_likes,YT_comments,YT_positive_comments,YT_negative_comments,previous_winner_cnt,previous_runner_up_cnt
1956,24-May,Lugano,Switzerland,Refrain,Lys Assia,102,,n/a,0,0,9,Chanson,0,,,,,,,,n/a,n/a,,,,,,,,,,,
1957,3-Mar,Frankfurt,Netherlands,Net als toen,Corry Brokken,31,14,France,0,1,6,Music,0,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1958,12-Mar,Hilversum,France,"Dors, mon amour",Andr_ Claveau,27,3,Switzerland,1,0,3,,,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1959,11-Mar,Cannes,Netherlands,Een beetje,Teddy Scholten,21,5,United Kingdom,0,1,5,Pop,0,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1960,29-Mar,London,France,Tom Pillibi,Jacqueline Boyer,32,7,United Kingdom,1,1,13,,,,,n/a,,n/a,,,n/a,n/a,,,,,,,,,,,
1961,18-Mar,Cannes,Luxembourg,Nous les amoureux,Jean-Claude Pascal,31,7,United Kingdom,0,1,14,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1962,18-Mar,Luxembourg,France,Un premier amour,Isabelle Aubret,26,13,Monaco,1,0,9,,,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1963,23-Mar,London,Denmark,Dansevise,Grethe and J�rgen Ingmann,42,2,Switzerland,0,0,8,,,,,,,,,,n/a,n/a,,,,,,,,,,,
1964,21-Mar,Copenhagen,Italy,Non ho l'et�,Gigliola Cinquetti,49,32,United Kingdom,1,1,12,,,,,n/a,,n/a,,,n/a,n/a,,,,,,,,,,,
1965,20-Mar,Naples,Luxembourg,"Poup_e de cire, poup_e de son",France Gall,32,6,United Kingdom,0,1,15,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1966,5-Mar,Luxembourg,Austria,"Merci, Ch_rie",Udo J�rgens,31,15,Sweden,0,0,9,,,,,,,,,,n/a,n/a,,,,,,,,,,,
1967,8-Apr,Vienna,United Kingdom,Puppet on a String,Sandie Shaw,47,25,Ireland,1,0,11,Pop,1,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1968,6-Apr,London,Spain,"La, la, la",Massiel,29,1,United Kingdom,1,1,15,,,,,n/a,,n/a,,,n/a,n/a,,,,,,,,,,,
1969,29-Mar,Madrid,United Kingdom,Boom Bang-a-Bang,Lulu,18,n/a,n/a,1,0,3,,0,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1969,29-Mar,Madrid,Spain,Vivo cantando,Salom_,18,n/a,n/a,1,0,7,,,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1969,29-Mar,Madrid,France,"Un jour, un enfant",Frida Boccara,18,n/a,n/a,1,0,8,,,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1969,29-Mar,Madrid,Netherlands,De troubadour,Lenny Kuhr,18,n/a,n/a,0,0,14,,,,,,,,,,n/a,n/a,,,,,,,,,,,
1970,21-Mar,Amsterdam,Ireland,All Kinds of Everything,Dana,32,6,United Kingdom,0,1,12,Pop,1,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1971,3-Apr,Dublin,Monaco,"Un banc, un arbre, une rue",S_verine,128,12,Spain,0,1,3,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1972,25-Mar,Edinburgh,Luxembourg,Apr�s toi,Vicky Leandros,128,14,United Kingdom,0,1,17,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1973,7-Apr,Luxembourg,Luxembourg,Tu te reconna�tras,Anne-Marie David,129,4,Spain,0,1,11,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1974,6-Apr,Brighton,Sweden,Waterloo,ABBA,24,6,Italy,0,1,8,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1975,22-Mar,Stockholm,Netherlands,Ding-a-dong,Teach-In,152,14,United Kingdom,0,1,1,Pop,1,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1976,3-Apr,The Hague,United Kingdom,Save Your Kisses for Me,Brotherhood of Man,164,17,France,1,1,1,Pop,1,,,n/a,,n/a,,,n/a,n/a,,,,,,,,,,,
1977,7-May,London,France,L'oiseau et l'enfant,Marie Myriam,136,15,United Kingdom,1,1,18,French Pop,0,,,n/a,,n/a,,,n/a,n/a,,,,,,,,,,,
1978,22-Apr,Paris,Israel,A-Ba-Ni-Bi(_-_-__-__),Izhar Cohenand theAlphabeta,157,32,Belgium,0,0,18,,,,,,,,,,n/a,n/a,,,,,,,,,,,
1979,31-Mar,Jerusalem,Israel,Hallelujah(______),Gali AtariandMilk and Honey,125,9,Spain,0,1,10,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1980,19-Apr,The Hague,Ireland,What's Another Year,Johnny Logan,143,15,Germany,0,1,17,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1981,4-Apr,Dublin,United Kingdom,Making Your Mind Up,Bucks Fizz,136,4,Germany,1,1,14,Pop,,,,n/a,,n/a,,,n/a,n/a,,,,,,,,,,,
1982,24-Apr,Harrogate,Germany,Ein bi�chen Frieden,Nicole,161,61,Israel,1,0,18,,,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1983,23-Apr,Munich,Luxembourg,Si la vie est cadeau,Corinne Herm�s,142,6,Israel,0,0,20,,,,,,,,,,n/a,n/a,,,,,,,,,,,
1984,5-May,Luxembourg,Sweden,Diggi-Loo Diggi-Ley,Herreys,145,8,Ireland,0,0,1,,1,,,,,,,,n/a,n/a,,,,,,,,,,,
1985,4-May,Gothenburg,Norway,La det swinge,Bobbysocks!,123,18,Germany,0,1,13,,0,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1986,3-May,Bergen,Belgium,J'aime la vie,Sandra Kim,176,36,Switzerland,0,0,13,Music,0,,,,,,,,n/a,n/a,,,,,,,,,,,
1987,9-May,Brussels,Ireland,Hold Me Now,Johnny Logan,172,31,Germany,0,1,20,Pop,1,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1988,30-Apr,Dublin,Switzerland,Ne partez pas sans moi,C_line Dion,137,1,United Kingdom,0,1,9,Pop,0,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1989,6-May,Lausanne,Yugoslavia,Rock Me,Riva,137,7,United Kingdom,0,1,22,Pop,0,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1990,5-May,Zagreb,Italy,Insieme: 1992,Toto Cutugno,149,17,Ireland,1,0,19,Pop,0,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1991,4-May,Rome,Sweden,F�ngad av en stormvind,Carola,146,0,France,0,1,8,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1992,9-May,Malm_,Ireland,Why Me?,Linda Martin,155,16,United Kingdom,0,1,17,Pop,1,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1993,15-May,Millstreet,Ireland,In Your Eyes,Niamh Kavanagh,187,23,United Kingdom,0,1,14,Pop,1,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1994,30-Apr,Dublin,Ireland,Rock 'n' Roll Kids,Paul HarringtonandCharlie McGettigan,226,60,Poland,0,0,3,,,,,,,,,,n/a,n/a,,,,,,,,,,,
1995,13-May,Dublin,Norway,Nocturne,Secret Garden,148,29,Spain,0,1,5,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1996,18-May,Oslo,Ireland,The Voice,Eimear Quinn,162,48,Norway,0,0,17,Music,1,,,,,,,,n/a,n/a,,,,,,,,,,,
1997,3-May,Dublin,United Kingdom,Love Shine a Light,Katrina and the Waves,227,70,Ireland,1,0,24,Pop,1,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
1998,9-May,Birmingham,Israel,Diva(_____),Dana International,172,6,United Kingdom,0,1,8,Pop,0,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
1999,29-May,Jerusalem,Sweden,Take Me to Your Heaven,Charlotte Nilsson,163,17,Iceland,0,0,15,,,,,,,,,,n/a,n/a,,,,,,,,,,,
2000,13-May,Stockholm,Denmark,Fly on the Wings of Love,Olsen Brothers,195,40,Russia,0,0,14,Pop,,,,,,,,,n/a,n/a,,,,,,,,,,,
2001,12-May,Copenhagen,Estonia,Everybody,"Tanel Padar,Dave Bentonand2XL",198,21,Denmark,0,0,20,,,,,,,,,,n/a,n/a,,,,,,,,,,,
2002,25-May,Tallinn,Latvia,I Wanna,Marie N,176,12,Malta,0,0,23,R&B/Soul,1,,,,,,,,n/a,n/a,,,,,,,,,,,
2003,24-May,Riga,Turkey,Everyway That I Can,Sertab Erener,167,2,Belgium,0,0,4,,1,,,,,,,,n/a,n/a,,,,,,,,,,,
2004,15-May,Istanbul,Ukraine,Wild Dances,Ruslana,280,17,Serbia and Montenegro,0,0,10,Rock,1,,,,,,,,n/a,n/a,,,,,,,,,,,
2005,21-May,Kiev,Greece,My Number One,Helena Paparizou,230,38,Malta,0,0,19,Pop,1,,,,,,,,n/a,n/a,,,,,,,,,,,
2006,20-May,Athens,Finland,Hard Rock Hallelujah,Lordi,292,44,Russia,0,0,17,,,,,,,,,,n/a,n/a,,,,,,,,,,,
2007,12-May,Helsinki,Serbia,Molitva(_______),Marija _erifovi_,268,33,Ukraine,0,0,17,,,,,,,,,,n/a,n/a,,,,,,,,,,,
2008,24-May,Belgrade,Russia,Believe,Dima Bilan,272,42,Ukraine,0,0,24,,1,,,,,,,,n/a,n/a,,,,,,,,,,,
2009,16-May,Moscow,Norway,Fairytale,Alexander Rybak,387,169,Iceland,0,0,20,Pop,1,,,,,,,,n/a,n/a,,,,,,,,,,,
2010,29-May,Oslo,Germany,Satellite,Lena,246,76,Turkey,1,0,22,Dance,,,,n/a,,,,,n/a,n/a,,,,,,,,,,,
2011,14-May,D�sseldorf,Azerbaijan,Running Scared,Ell & Nikki,221,32,Italy,0,1,19,,,,,,,n/a,,,n/a,n/a,,,,,,,,,,,
2012,26-May,Baku,Sweden,Euphoria,Loreen,372,113,Russia,0,0,17,Dance,1,,,,,,,,n/a,n/a,,,,,,,,,,,
2013,18-May,Malm_,Denmark,Only Teardrops,Emmelie de Forest,281,47,Azerbaijan,0,0,18,Folk,1,Folk,1,1,11,1,,,n/a,n/a,,,,,,,,,,,
2014,10-May,Copenhagen,Austria,Rise Like a Phoenix,Conchita Wurst,290,52,Netherlands,0,0,11,Pop-ballad,1,Pop-country,1,1,44,1,10,10,n/a,n/a,,,,,,,,,,,
2015,23-May,Vienna,Sweden,Heroes,M�ns Zelmerl_w,365,62,Russia,0,0,10,Dance-pop,1,Pop-rock,1,1,62,1,2.1,3,3.75,14,,,,,,,,,,,
2016,14-May,Stockholm,Ukraine,1944,Jamala,534,23,Australia,0,0,21,Electro-pop,1,Ballad,1,2,-43,1,10,5,2.75,14,,,,,,,,,,,
2017,13-May,Kiev,Portugal,Amar pelos dois,Salvador Sobral,758,143,Bulgaria,0,0,11,Jazz,0,Electro-pop,1,1,79,1,2.62,7,2.37,18,,,,,,,,,,,
2018,18-May,Lisbon,Israel,Toy,Netta,529,93,Cyprus,0,0,22,Pop-Dance,1,Dance-pop,1,1,21,2,3.25,10,2,16,,,,,,,,,,,
2019,18-May,Tel Aviv,Netherlands,Arcade,Duncan Laurence,498,26,Italy,0,1,12,Pop-Ballad,1,R&B,0,1,41,n/a,1.5,6,5,21,,,,,,,,,,,
2021,22-May,Rotterdam,Italy,Zitti E Buoni,Maneskin,524,25,France,1,1,24,Rock,0,Chanson,0,n/a,n/a,n/a,3.25,9,3.25,11,,,,,,,,,,,
